,ep_id,description,directors,writers
13,02x01,"Mrs. Krabappel, fed up with Bart's lackadaisical approach to his studies, gives him an ultimatum: shape up or repeat the fourth grade.",David Silverman,"Matt Groening, James L. Brooks, Sam Simon"
14,02x02,Homer lies on a medical insurance form in order to obtain a miracle hair restoring drug.,Rich Moore,"Matt Groening, James L. Brooks, Sam Simon"
15,02x03,"The Simpsons move into a cursed house, then are abducted by aliens, before Homer is ensconced in a tale by Edgar Allen Poe.","Wesley Archer, Rich Moore, David Silverman","Jay Kogen, Wallace Wolodarsky, John Swartzwelder"
16,02x04,"After the power plant experiences bad publicity and is threatened with closure, Mr. Burns decides to run for Governor in order to have power over the law.",Wesley Archer,"Matt Groening, James L. Brooks, Sam Simon"
17,02x05,Homer's heckling of the Springfield Isotopes baseball team during one of their games inadvertently leads to his appointment as the new team mascot.,"David Silverman, Mark Kirkland","Matt Groening, James L. Brooks, Sam Simon"
18,02x06,"In an attempt to show up Ned Flanders, Homer pits Bart against Ned's son, Todd, in a miniature golf competition.",Rich Moore,"Matt Groening, James L. Brooks, Sam Simon"
19,02x07,"On Thanksgiving, Bart runs away after fighting with Lisa.",David Silverman,"Matt Groening, James L. Brooks, Sam Simon"
20,02x08,"After seeing a motorcycle daredevil at a monster truck show, Bart becomes a death-defying daredevil skateboarder.",Wesley Archer,"Matt Groening, James L. Brooks, Sam Simon"
21,02x09,"Marge becomes a crusader against cartoon violence after ""Itchy and Scratchy"" seemingly inspires Maggie to attack Homer.","David Silverman, Jim Reardon","Matt Groening, James L. Brooks, Sam Simon"
22,02x10,"While skateboarding down the street, Bart is hit by a car driven by Mr. Burns. Homer turns down Mr. Burns' token offer of $100, and instead hires ambulance-chaser Lionel Hutz to bring an outrageous lawsuit against the millionaire.","David Silverman, Mark Kirkland","Matt Groening, James L. Brooks, Sam Simon"
23,02x11,"After apparently consuming poison blowfish, Homer is told that he only has 24 hours to live.",Wesley Archer,"Matt Groening, James L. Brooks, Sam Simon"
24,02x12,Homer and Marge tell the story of how they met and fell in love in high school.,David Silverman,"Matt Groening, James L. Brooks, Sam Simon"
25,02x13,"Homer gets a crooked cable guy to install free cable in the Simpson home, and as a result, Lisa faces an ethical crisis over her family's stealing.",Rich Moore,"Matt Groening, James L. Brooks, Sam Simon"
26,02x14,"Homer tries to set Selma up with Principal Skinner, only for him to fall for Patty instead.","David Silverman, Mark Kirkland","Matt Groening, James L. Brooks, Sam Simon"
27,02x15,"After Grampa is hospitalized, he reveals that Homer has a half-brother, and the family set out to find him.",Wesley Archer,"Matt Groening, James L. Brooks, Sam Simon"
28,02x16,"After an uncontrollable Santa's Little Helper destroys several important Simpson possessions, Homer announces that he will be thrown out of the house unless he completes obedience training.","David Silverman, Jim Reardon","Matt Groening, James L. Brooks, Sam Simon"
29,02x17,"After Grampa's new girlfriend dies and leaves him $106,000 in her will, he tries to decide what to do with it.",David Silverman,"Matt Groening, James L. Brooks, Sam Simon"
30,02x18,"After rekindling her artistic talents, Marge is commissioned to paint a portrait of Mr. Burns; Homer vows to lose weight after getting trapped in a water slide.","David Silverman, Jim Reardon","Matt Groening, James L. Brooks, Sam Simon"
31,02x19,Lisa has a crush on her substitute teacher; Bart decides to run for class president.,Rich Moore,"Matt Groening, James L. Brooks, Sam Simon"
32,02x20,Homer must decide whether he should complete marriage counseling or skip out to catch a legendary catfish; Bart and Lisa take advantage of Grampa's ignorance of the house rules.,"David Silverman, Mark Kirkland","Matt Groening, James L. Brooks, Sam Simon"
33,02x21,"Bart, Milhouse and Martin each pitch in to buy an expensive comic book, which soon has a disastrous effect on their friendship.",Wesley Archer,"Matt Groening, James L. Brooks, Sam Simon"
34,02x22,"After Bart saves Mr. Burns' life with a blood transfusion, Homer vows revenge when they receive only a ""thank you"" card as compensation.",David Silverman,"Matt Groening, James L. Brooks, Sam Simon"
35,03x01,Homer accidentally lands in a mental hospital and ends up sharing a room with a white man who thinks he is Michael Jackson.,Rich Moore,"Matt Groening, James L. Brooks, Sam Simon"
36,03x02,"After winning a political essay contest, Lisa is invited to Washington, D.C., but she soon becomes upset after discovering how policy-making really works.",Wesley Archer,"Matt Groening, James L. Brooks, Sam Simon"
37,03x03,"After wishing for Flanders to lose his business, Homer discovers that his neighbor is actually about to go bankrupt and decides to help him out.",Jim Reardon,"Matt Groening, James L. Brooks, Sam Simon"
38,03x04,"After having a horrible day, Bart gets a job tending bar for a group of gangsters and becomes the prime suspect when Principal Skinner mysteriously disappears.",Rich Moore,"Matt Groening, James L. Brooks, Sam Simon"
39,03x05,"Homer is a hero after averting a nuclear meltdown that he nearly caused, but he doesn't want to tell anyone that he stopped it completely by accident.",Mark Kirkland,"Matt Groening, James L. Brooks, Sam Simon"
40,03x06,Bart and Lisa try to reunite Krusty the Clown with his father.,"Brad Bird, Jeffrey Lynch","Matt Groening, James L. Brooks, Sam Simon"
41,03x07,"The Simpson family receives a severed monkey's paw which can grant wishes, Bart gains magical powers which he uses to turn Homer into a Jack-in-the-box, and Mr. Burns uses Homer's brain to create a robot.",Jim Reardon,"Matt Groening, James L. Brooks, Sam Simon"
42,03x08,Homer buys Lisa a pony that the family can ill afford.,Carlos Baeza,"Matt Groening, James L. Brooks, Sam Simon"
43,03x09,"After Homer fails a fathering test, he decides to help Bart build his Soap Box Derby racer.",Jim Reardon,"Matt Groening, James L. Brooks, Sam Simon"
44,03x10,"Moe claims a drink that Homer invented is his own, with the drink making the bar a local hot spot, but threatens his friendship with Homer.","Rich Moore, Alan Smart","Matt Groening, James L. Brooks, Sam Simon"
45,03x11,"Burns decides to retire and sells the power plant to a German consortium for an exorbitant price. Homer's laziness and inefficiency are quickly exposed by his new bosses, and he is laid off.",Mark Kirkland,"Matt Groening, James L. Brooks, Sam Simon"
46,03x12,"As Marge goes to the doctor for a pregnancy test, Homer tells the children of the events leading up to his marriage, and Bart's birth.",Jeffrey Lynch,"Matt Groening, James L. Brooks, Sam Simon"
47,03x13,"After Bart receives a microphone which can transmit through radios, he decides to pull a series of pranks and eventually convinces the town that a boy has fallen down a well.",Carlos Baeza,"Matt Groening, James L. Brooks, Sam Simon"
48,03x14,Homer uses Lisa (and her prognostic skills) to help him bet on football games.,Rich Moore,"Matt Groening, James L. Brooks, Sam Simon"
49,03x15,"While Marge spends a couple of days at Rancho Relaxo after she has a breakdown, Bart and Lisa stay with Patty and Selma, and Homer stays at home to take care of Maggie.",Mark Kirkland,"Matt Groening, James L. Brooks, Sam Simon"
50,03x16,"After Mrs. Krabappel gives Bart a month of detention, he gets his revenge by responding to her newspaper singles ad; Homer uses a swear jar to cut down on his cursing.",Carlos Baeza,"Matt Groening, James L. Brooks, Sam Simon"
51,03x17,"Homer and his co-workers qualify for the plant softball team's league final, but Mr. Burns hires nine professional MLB players in order to win a $1 million bet.",Jim Reardon,"Matt Groening, James L. Brooks, Sam Simon"
52,03x18,"Lisa and Bart take an examination at the school that is supposed to determine what they will be when they grow up, but the kids are not so sure.",Jeffrey Lynch,"Matt Groening, James L. Brooks, Sam Simon"
53,03x19,"After the Simpsons regret paying for an expensive surgery for Santa's Little Helper, he runs away from home and is trained by Mr. Burns to become an attack dog.",Jim Reardon,"Matt Groening, James L. Brooks, Sam Simon"
54,03x20,"Homer becomes the manager of a beautiful young country singer and finds himself almost attracted to her, sparking Marge's jealousy.",Mark Kirkland,"Matt Groening, James L. Brooks, Sam Simon"
55,03x21,Sideshow Bob gets out of jail and plots to take his revenge on Bart by marrying his Aunt Selma and killing her.,David Silverman,"Matt Groening, James L. Brooks, Sam Simon"
56,03x22,"After Otto loses his job as school bus driver because he does not have a license, Bart convinces Homer and Marge to let Otto stay with them until he gets back on his feet.",Wesley Archer,"Matt Groening, James L. Brooks, Sam Simon"
57,03x23,Bart becomes jealous when Milhouse falls in love with a new student named Samantha; Homer accidentally receives a vocabulary-building tape instead of a weight-loss one.,Jim Reardon,"Matt Groening, James L. Brooks, Sam Simon"
58,03x24,"After Homer ""wins"" a $2000 settlement with the plant for radiation affecting his sperm count, his brother Herb comes to Springfield with an idea that could help him get his fortune back.",Rich Moore,"Matt Groening, James L. Brooks, Sam Simon"
59,04x01,"Bart and Lisa attend ""Kamp Krusty"" but it is nothing like they thought it would be; Homer's hair grows back and he loses weight while the kids are away.",Mark Kirkland,"Matt Groening, James L. Brooks, Sam Simon"
60,04x02,"Marge stars in a musical adaptation of A Streetcar Named Desire, but is angry with Homer's lack of interest; Maggie squares off with her strict new daycare owner.",Rich Moore,"Matt Groening, James L. Brooks, Sam Simon"
61,04x03,"Homer decides to stay at home every Sunday while the rest of the family continues to attend church, and soon finds himself in an ominous situation.",Jim Reardon,"Matt Groening, James L. Brooks, Sam Simon"
62,04x04,Homer enters Lisa in the Little Miss Springfield pageant to build her self-esteem.,Mark Kirkland,"Matt Groening, James L. Brooks, Sam Simon"
63,04x05,An evil Krusty the Clown doll tries to kill Homer; Marge is captured by a giant ape who falls in love with her; Bart inadvertently raises the dead.,Carlos Baeza,"Matt Groening, James L. Brooks, Sam Simon"
64,04x06,"With Bart continually getting in trouble, Homer bans him from seeing the new Itchy & Scratchy movie.",Rich Moore,"Matt Groening, James L. Brooks, Sam Simon"
65,04x07,"When Marge takes a job at the power plant, Mr. Burns falls in love with her; Bart ""cries wolf"" to avoid taking a test.",Jeffrey Lynch,"Matt Groening, James L. Brooks, Sam Simon"
66,04x08,"Bart develops a crush on his new neighbor, only to discover that she's dating Jimbo Jones; Homer sues an all-you-can-eat restaurant after he's kicked out.",Wesley Archer,"Matt Groening, James L. Brooks, Sam Simon"
67,04x09,"Homer opens a successful snow-plowing business, only to inspire Barney to start a rival outfit that puts him out of work.",Jim Reardon,"Matt Groening, James L. Brooks, Sam Simon"
68,04x10,"While trying to coax Maggie into saying her first word, Homer and Marge talk about how Lisa spoke hers.",Mark Kirkland,"Matt Groening, James L. Brooks, Sam Simon"
69,04x11,"Years of poor eating habits catch up with Homer when he suffers a massive heart attack, but the family can't afford the triple bypass operation he needs.",David Silverman,"Matt Groening, James L. Brooks, Sam Simon"
70,04x12,"After receiving a considerable donation of money, Springfield builds a monorail system with Homer as the conductor, unaware they've just boarded a one-way train to Hell.",Rich Moore,"Matt Groening, James L. Brooks, Sam Simon"
71,04x13,"Selma starts to feel broody, but after taking Bart and Lisa to Duff Gardens, she changes her mind.",Carlos Baeza,"Matt Groening, James L. Brooks, Sam Simon"
72,04x14,"When Bart gets tired of Homer's horrible parenting skills, he enrolls in the ""Bigger Brother"" program where he's assigned a fantastic role model.",Jeffrey Lynch,"Matt Groening, James L. Brooks, Sam Simon"
73,04x15,"Lisa gives Ralph a Valentine's card out of pity, but soon regrets it when he develops an unwanted crush on her.",Wesley Archer,"Matt Groening, James L. Brooks, Sam Simon"
74,04x16,"After Homer loses his license for DUI, Marge pressures him to give up beer for a month; Lisa attempts to prove that Bart is less intelligent than a hamster.",Jim Reardon,"Matt Groening, James L. Brooks, Sam Simon"
75,04x17,"When Mr. Burns revokes the plant's dental plan, forcing Lisa to be fitted with cheap, ugly braces, Homer leads its union into going on strike.",Mark Kirkland,"Matt Groening, James L. Brooks, Sam Simon"
76,04x18,"As Homer recovers in hospital due to Bart's disastrous April Fool's Day prank, the family reminiscences over earlier hardships.",Carlos Baeza,"Matt Groening, James L. Brooks, Sam Simon"
77,04x19,"Bart and Lisa convince Grampa to let them use his name for episodes of ""Itchy and Scratchy"" they have written; Homer re-takes a test he failed in high school.",Rich Moore,"Matt Groening, James L. Brooks, Sam Simon"
78,04x20,Marge home-schools Bart after he is expelled from Springfield Elementary; Lisa protests a barbaric local holiday centered around clubbing snakes to death.,Jeffrey Lynch,"Matt Groening, James L. Brooks, Sam Simon"
79,04x21,"A misunderstanding leads to Marge being imprisoned for shoplifting, with her absence soon descending the family, and eventually, the town into chaos.",Jim Reardon,"Matt Groening, James L. Brooks, Sam Simon"
80,04x22,"When Krusty's show is canceled after losing viewers to a ventriloquist and his dummy, Bart and Lisa organize a celebrity-filled comeback special for their favorite Clown.",David Silverman,"Matt Groening, James L. Brooks, Sam Simon"
81,05x01,"After the kids find a record with Homer's picture on it, he recalls the story of how he achieved fame in the 1980s with his barbershop quartet, The Be Sharps.",Mark Kirkland,"Matt Groening, James L. Brooks, Sam Simon"
82,05x02,"After being released from prison on parole, Sideshow Bob plots to murder Bart.",Rich Moore,"Matt Groening, James L. Brooks, Sam Simon"
83,05x03,"When a surprise inspection of the nuclear power plant reveals that Homer is not qualified to do his job, he is forced to go to college.",Jim Reardon,"Matt Groening, James L. Brooks, Sam Simon"
84,05x04,"After his birthday party goes wrong, Mr. Burns begins to want his childhood toy, a teddy bear named Bobo; Homer finds that Maggie is in possession of the doll.",Wesley Archer,"Matt Groening, James L. Brooks, Sam Simon"
85,05x05,"Homer sells his soul to the Devil for a donut, Bart contends with a gremlin on the side of the school bus which only he can see, and the family discovers that Mr. Burns is a vampire.",David Silverman,"Matt Groening, James L. Brooks, Sam Simon"
86,05x06,A girls' night out turns into a high speed chase when Marge learns her friend is driving a stolen car.,Mark Kirkland,"Matt Groening, James L. Brooks, Sam Simon"
87,05x07,"Brad Goodman, a self-help guru, encourages Springfield to act more like Bart, with disastrous results.",Bob Anderson,"Matt Groening, James L. Brooks, Sam Simon"
88,05x08,"After joining the Junior Campers while on a sugar high, Bart reluctantly invites Homer to accompany him on the group's annual father-son rafting trip, which soon goes awry.",Jeffrey Lynch,"Matt Groening, James L. Brooks, Sam Simon"
89,05x09,Homer's marriage is in trouble when he develops an attraction to a new co-worker; Bart undergoes medical treatments that make him look like a nerd.,Carlos Baeza,"Matt Groening, James L. Brooks, Sam Simon"
90,05x10,"Mr. Burns builds a casino when Springfield decides to legalize gambling, with Marge becoming addicted to the slot machines.",Wesley Archer,"Matt Groening, James L. Brooks, Sam Simon"
91,05x11,An outbreak of burglaries inspires Homer to lead a vigilante group.,Jim Reardon,"Matt Groening, James L. Brooks, Sam Simon"
92,05x12,"Bart becomes an overnight sensation as the ""I didn't do it"" boy on Krusty the Clown's show.",Susie Dietter,"Matt Groening, James L. Brooks, Sam Simon"
93,05x13,Apu moves in with the Simpsons after losing his job when Homer gets ill from the contaminated food; James Woods takes over the Kwik-E-Mart.,Mark Kirkland,"Matt Groening, James L. Brooks, Sam Simon"
94,05x14,"Angered by the vacuous phrases her Malibu Stacy doll utters, Lisa works with Malibu Stacy's original designer to create a doll with admirable traits.",Jeffrey Lynch,"Matt Groening, James L. Brooks, Sam Simon"
95,05x15,"In an effort to increase the dismal television ratings for their space launches, NASA decides to send an ordinary man into space, and Homer is chosen for the task.",Carlos Baeza,"Matt Groening, James L. Brooks, Sam Simon"
96,05x16,"After Flanders invites Homer to a football game, the pair become friends, but Homer's possessiveness and loutish behaviour slowly turns Ned against him.",Wesley Archer,"Matt Groening, James L. Brooks, Sam Simon"
97,05x17,"After Bart receives an elephant as a prize for calling in to a radio station, the animal proves to be too costly to care for and Homer decides to sell it.",Jim Reardon,"Matt Groening, James L. Brooks, Sam Simon"
98,05x18,"After coming close to death, Mr. Burns decides than it's time to find an heir to his empire, and chooses Bart because of his truly devious nature.",Mark Kirkland,"Matt Groening, James L. Brooks, Sam Simon"
99,05x19,"Bart accidentally gets Principal Skinner fired on inspection day, with Ned Flanders taking over as his replacement.",Bob Anderson,"Matt Groening, James L. Brooks, Sam Simon"
100,05x20,"Bart witnesses the alleged assault of a waiter by Mayor Quimby's nephew, but coming forward will mean admitting to skipping class, and face the consequences.",Jeffrey Lynch,"Matt Groening, James L. Brooks, Sam Simon"
101,05x21,"Grampa falls in love with Marge's mother, but must compete with Mr. Burns for her heart.",Wesley Archer,"Matt Groening, James L. Brooks, Sam Simon"
102,05x22,"Homer begins teaching a class on how to have a successful marriage, but jeopardizes his own marriage by revealing secrets about himself and Marge.",Carlos Baeza,"Matt Groening, James L. Brooks, Sam Simon"
103,06x01,"Confined to his room with a broken leg, Bart suspects Ned Flanders of murdering Maude; the family's new swimming pool earns Lisa popularity among the neighborhood kids.",Jim Reardon,"Matt Groening, James L. Brooks, Sam Simon"
104,06x02,Lisa is jealous when a new girl in class is smarter than she is; Homer obtains a giant mound of sugar.,Mark Kirkland,"Matt Groening, James L. Brooks, Sam Simon"
105,06x03,The family recalls past tales of lost love.,David Silverman,"Matt Groening, James L. Brooks, Sam Simon"
106,06x04,A family vacation to Itchy & Scratchy Land turns disastrous when the robots malfunction and turn on the tourists.,Wesley Archer,"Matt Groening, James L. Brooks, Sam Simon"
107,06x05,"When Sideshow Bob is released from prison and is elected Mayor of Springfield, Bart and Lisa suspect foul play and are determined to expose his corruption.",Mark Kirkland,"Matt Groening, James L. Brooks, Sam Simon"
108,06x06,The family's job at Mr. Burns' country estate goes awry when Homer goes mad; Homer's attempt to repair a toaster results in inadvertent time travel; The school staff turn cannibalistic.,Jim Reardon,"Matt Groening, James L. Brooks, Sam Simon"
109,06x07,Bart falls for Reverend Lovejoy's daughter and is surprised when she becomes a bad influence on him.,Susie Dietter,"Matt Groening, James L. Brooks, Sam Simon"
110,06x08,Sibling rivalry between Bart and Lisa ensues when they become the star players of their respective ice hockey teams.,Bob Anderson,"Matt Groening, James L. Brooks, Sam Simon"
111,06x09,Homer accidentally lands himself in trouble with the law and with the kids' babysitter after stealing a gummy replica at a candy convention.,Jeffrey Lynch,"Matt Groening, James L. Brooks, Sam Simon"
112,06x10,Homer and Abe hit the road to sell Abe's miraculous aphrodisiac.,Wesley Archer,"Matt Groening, James L. Brooks, Sam Simon"
113,06x11,Marge goes into therapy to cure her of her traumatizing fear of flying.,Mark Kirkland,"Matt Groening, James L. Brooks, Sam Simon"
114,06x12,"Homer becomes a member of a mysterious organization called the Stonecutters and is heralded as ""the chosen one"".",Jim Reardon,"Matt Groening, James L. Brooks, Sam Simon"
115,06x13,Homer recounts the story of Maggie's birth when the kids ask why there are no photos of her in the family album.,Swinton O. Scott III,"Matt Groening, James L. Brooks, Sam Simon"
116,06x14,Bart discovers a comet that is on a collision course with Springfield.,Bob Anderson,"Matt Groening, James L. Brooks, Sam Simon"
117,06x15,"Homer becomes a Krusty the Clown stand-in, but is mistaken for the real Krusty by the Springfield mafia.",David Silverman,"Matt Groening, James L. Brooks, Sam Simon"
118,06x16,"In order to prove that toilets flush the opposite direction in Australia, Bart makes a prank call that ends up costing the recipient $900, Bart must apologize.",Wesley Archer,"Matt Groening, James L. Brooks, Sam Simon"
119,06x17,"Desperate for money, Homer takes a loan from Patty and Selma; Bart discovers a natural talent for ballet.",Mark Kirkland,"Matt Groening, James L. Brooks, Sam Simon"
120,06x18,"The citizens of Springfield host their own film festival, with popular movie critic Jay Sherman arriving from New York to judge.",Susie Dietter,"James L. Brooks, Sam Simon, Ken Keeler"
121,06x19,A fortune teller gives Lisa a look at her wedding in the year 2010.,Jim Reardon,"Matt Groening, James L. Brooks, Sam Simon"
122,06x20,"Santa's Little Helper's new mate has puppies, and Mr. Burns schemes to steal them and make them into a coat.",Bob Anderson,"Matt Groening, James L. Brooks, Sam Simon"
123,06x21,"Bart manipulates Mrs. Krabappel into leading a teachers' strike against Principal Skinner, but is perturbed when Marge becomes his substitute.",Swinton O. Scott III,"Matt Groening, James L. Brooks, Sam Simon"
124,06x22,"When Bart is hospitalized, Lisa runs into her mentor Bleeding Gums Murphy, who is also a patient, and becomes devastated when he dies soon after.",Steven Dean Moore,"Matt Groening, James L. Brooks, Sam Simon"
125,06x23,Marge deals with corruption and crime when she joins the Springfield police force.,Mark Kirkland,"Matt Groening, James L. Brooks, Sam Simon"
126,06x24,"When a group of Shelbyville kids steal Springfield's sacred lemon tree, Bart and his friends venture there to get the tree back.",Jim Reardon,"Matt Groening, James L. Brooks, Sam Simon"
127,06x25,"After Mr. Burns steals oil from Springfield Elementary and blocks out the sun, an unknown person shoots him.",Jeffrey Lynch,"Matt Groening, James L. Brooks, Sam Simon"
128,07x01,"Mr. Burns is laying in the hospital while the investigation into his shooter begins. Every citizen has motivation, but it's Simpson DNA that has been found.",Wesley Archer,"Matt Groening, James L. Brooks, Sam Simon"
129,07x02,Milhouse is cast as Radioactive Man's sidekick in a Hollywood production of the comic book.,Susie Dietter,"Matt Groening, James L. Brooks, Sam Simon"
130,07x03,"Marge and Homer lose custody of the kids, who are sent to live at the Flanders' house.",Susie Dietter,"Matt Groening, James L. Brooks, Sam Simon"
131,07x04,Bart casually sells his soul to Milhouse for $5 but soon regrets it; Moe converts his dank bar into a family restaurant.,Wesley Archer,"Matt Groening, James L. Brooks, Sam Simon"
132,07x05,"A trip to a local petting zoo convinces Lisa to give up meat, despite excessive pressure to convince her not to do so.",Mark Kirkland,"Matt Groening, James L. Brooks, Sam Simon"
133,07x06,A lightning storm causes giant advertising mascots to come to life; The children are terrorized by Groundskeeper Willie in their dreams; Homer finds himself trapped in another dimension.,"Bob Anderson, David Mirkin","Matt Groening, James L. Brooks, Sam Simon"
134,07x07,"Homer intentionally gains more weight in order to qualify for disability and work from home, but soon realizes that being morbidly obese comes with its own problems.",Jim Reardon,"Matt Groening, James L. Brooks, Sam Simon"
135,07x08,"After faking his own death, Homer is reunited with his mother, who harbors a deep secret.",David Silverman,"Matt Groening, James L. Brooks, Sam Simon"
136,07x09,"Sideshow Bob again escapes from prison and takes control of a TV screen at an air show, demanding all television stations immediately go off the air.",Dominic Polcino,"Matt Groening, James L. Brooks, Sam Simon"
137,07x10,Troy McClure hosts a retrospective of the first 137 episodes of The Simpsons (1989).,David Silverman,"Matt Groening, James L. Brooks, Sam Simon"
138,07x11,Marge's relationship with Bart is strained when he is caught shoplifting before Christmas.,Steven Dean Moore,"Matt Groening, James L. Brooks, Sam Simon"
139,07x12,"Homer starts a bowling team with Moe, Apu and Otto, but Mr. Burns insists on joining after learning that the team was funded with his money; Springfield Elementary introduces uniforms.",Mark Kirkland,"Matt Groening, James L. Brooks, Sam Simon"
140,07x13,"Former President George Bush and his wife, Barbara, move into the Simpsons' neighborhood and soon clash with Bart and Homer.",Wesley Archer,"Matt Groening, James L. Brooks, Sam Simon"
141,07x14,"After buying a Chanel suit at a bargain price, Marge finds herself invited to a country club by a former schoolmate. Taken in by the opulence of the place, she is soon overcome by a desperation to fit in.",Susie Dietter,"Matt Groening, James L. Brooks, Sam Simon"
142,07x15,"Krusty the Clown is left almost broke after Bart inadvertently rats him out to the IRS, forcing Krusty to take drastic action.",Jim Reardon,"Matt Groening, James L. Brooks, Sam Simon"
143,07x16,Lisa may figure out what to do when she discovers that Springfield's founding father was actually a murderous thief while researching for an essay.,Mike B. Anderson,"Matt Groening, James L. Brooks, Sam Simon"
144,07x17,"When Smithers is forced to take a vacation, he appoints Homer as his temporary replacement.",Steven Dean Moore,"Matt Groening, James L. Brooks, Sam Simon"
145,07x18,"Bart and Lisa meet a vagabond who claims to be the creator of Itchy from ""Itchy and Scratchy.""",Wesley Archer,"Matt Groening, James L. Brooks, Sam Simon"
146,07x19,Washed-up movie star Troy McClure starts dating Selma in an attempt to silence bizarre rumors about his personal life and resuscitate his career.,Mark Kirkland,"Matt Groening, James L. Brooks, Sam Simon"
147,07x20,"Bart makes a fake driver's license and takes Milhouse, Martin and Nelson on a huge road trip; Lisa spends time with Homer at the power plant.",Swinton O. Scott III,"Matt Groening, James L. Brooks, Sam Simon"
148,07x21,A series of vignettes highlights a day in the life of various Springfield residents.,Jim Reardon,"Matt Groening, James L. Brooks, Sam Simon"
149,07x22,"One of Grampa's old war buddies dies, and it's revealed that Mr. Burns is the only other living member of his WWII squad and things go sour quickly.",Jeffrey Lynch,"Matt Groening, James L. Brooks, Sam Simon"
150,07x23,"Anti-immigration fever sweeps Springfield, which threatens to lead to the deportation of Apu, until Homer decides to reject the mob mentality and help him become a legal citizen.",Susie Dietter,"Matt Groening, James L. Brooks, Sam Simon"
151,07x24,"In an attempt to prove his coolness to the kids, Homer takes them to a music festival but ends up embarrassing them after being hired in a sideshow.",Wesley Archer,"Matt Groening, James L. Brooks, Sam Simon"
152,07x25,"After realizing how unpopular she is, a disillusioned Lisa sees the vacation to Ned Flanders' beach house as an opportunity to reinvent herself.",Mark Kirkland,"Matt Groening, James L. Brooks, Sam Simon"
153,08x01,Bart's Siamese twin swells in the attic; Lisa's science experiment creates a miniature universe of advanced civilization; aliens possess Clinton and Dole.,Mike B. Anderson,"Matt Groening, James L. Brooks, Sam Simon"
154,08x02,"After moving to another town for a new job, Homer must decide whether or not to stay when the family have a hard time with the transfer.",Mike B. Anderson,"Matt Groening, James L. Brooks, Sam Simon"
155,08x03,Homer becomes a boxer after Moe discovers his amazing ability to take a punch.,Mark Kirkland,"Matt Groening, James L. Brooks, Sam Simon"
156,08x04,"The Simpsons try to reunite Mr. Burns with Larry, his slovenly long-lost son.",Jim Reardon,"Matt Groening, James L. Brooks, Sam Simon"
157,08x05,Marge leads a crusade against a local burlesque house after she discovers Bart working there.,Dominic Polcino,"Matt Groening, James L. Brooks, Sam Simon"
158,08x06,Homer questions the state of his marriage after Luann Van Houten demands a divorce from Kirk.,Steven Dean Moore,"Matt Groening, James L. Brooks, Sam Simon"
159,08x07,"Lisa develops a crush on Nelson, and tries to reform him; Homer gets an autodialer and decides to make easy money with a telemarketing scam.",Susie Dietter,"Matt Groening, James L. Brooks, Sam Simon"
160,08x08,"After a hurricane destroys Ned Flanders' house, he suffers a nervous breakdown and is forced to confront repressed problems from his childhood.",Bob Anderson,"Matt Groening, James L. Brooks, Sam Simon"
161,08x09,"After eating insanity peppers at a chili cook-off, Homer has a hallucination of a talking coyote urging him to find his soulmate.",Jim Reardon,"Matt Groening, James L. Brooks, Sam Simon"
